Player Name,From Year,To Year,Position,Height,Weight,Birth Date,Player URL
Anthony Brown,2016,2018,F-G,6-7,210,"October 10, 1992",https://www.basketball-reference.com/players/b/brownan02.html
Bob Brown,1949,1950,F,6-4,205,"November 12, 1923",https://www.basketball-reference.com/players/b/brownbo01.html
Bobby Brown,2009,2018,G,6-2,175,"September 24, 1984",https://www.basketball-reference.com/players/b/brownbo02.html
Bruce Brown,2019,2024,G-F,6-4,202,"August 15, 1996",https://www.basketball-reference.com/players/b/brownbr01.html
Charlie Brown Jr.,2020,2024,G,6-6,199,"February 2, 1997",https://www.basketball-reference.com/players/b/brownch02.html
Chaundee Brown Jr.,2022,2022,G-F,6-5,215,"December 4, 1998",https://www.basketball-reference.com/players/b/brownch05.html
Chucky Brown,1990,2002,F,6-7,214,"February 29, 1968",https://www.basketball-reference.com/players/b/brownch01.html
Damone Brown,2002,2005,F,6-9,200,"June 28, 1979",https://www.basketball-reference.com/players/b/brownda02.html
Darrel Brown,1949,1949,F,6-2,175,"March 14, 1923",https://www.basketball-reference.com/players/b/brownda01.html
Dee Brown,1991,2002,G,6-1,160,"November 29, 1968",https://www.basketball-reference.com/players/b/brownde01.html
Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",https://www.basketball-reference.com/players/b/brownde03.html
Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",https://www.basketball-reference.com/players/b/brownde04.html
Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",https://www.basketball-reference.com/players/b/brownde02.html
Ernest Brown,2002,2002,C,7-0,244,"May 17, 1979",https://www.basketball-reference.com/players/b/browner01.html
Fred Brown,1972,1984,G,6-3,182,"August 7, 1948",https://www.basketball-reference.com/players/b/brownfr01.html
George Brown,1958,1958,F,6-6,190,"October 30, 1935",https://www.basketball-reference.com/players/b/brownge01.html
Gerald Brown,1999,1999,G,6-4,210,"July 28, 1975",https://www.basketball-reference.com/players/b/brownge02.html
Greg Brown III,2022,2024,F,6-7,205,"September 1, 2001",https://www.basketball-reference.com/players/b/browngr01.html
Harold Brown,1947,1947,G,6-0,155,"October 2, 1923",https://www.basketball-reference.com/players/b/brownha01.html
Jabari Brown,2015,2015,G,6-4,215,"December 18, 1992",https://www.basketball-reference.com/players/b/brownja01.html
Jaylen Brown,2017,2024,F-G,6-6,223,"October 24, 1996",https://www.basketball-reference.com/players/b/brownja02.html
John Brown,1974,1980,F,6-7,220,"December 14, 1951",https://www.basketball-reference.com/players/b/brownjo01.html
Kedrick Brown,2002,2005,G,6-7,222,"March 18, 1981",https://www.basketball-reference.com/players/b/brownke01.html
Kendall Brown,2023,2024,G-F,6-8,205,"May 11, 2003",https://www.basketball-reference.com/players/b/brownke03.html
Kobe Brown,2024,2024,G-F,6-7,250,"January 1, 2000",https://www.basketball-reference.com/players/b/brownko01.html
Kwame Brown,2002,2013,F,6-11,270,"March 10, 1982",https://www.basketball-reference.com/players/b/brownkw01.html
Larry Brown,1968,1972,G,5-9,160,"September 14, 1940",https://www.basketball-reference.com/players/b/brownla01.html
Leon Brown,1947,1947,F,6-3,190,"October 12, 1919",https://www.basketball-reference.com/players/b/brownle01.html
Lewis Brown,1981,1981,C,6-11,225,"February 19, 1955",https://www.basketball-reference.com/players/b/brownle02.html
Lorenzo Brown,2014,2019,G,6-5,189,"August 26, 1990",https://www.basketball-reference.com/players/b/brownlo01.html
Marcus Brown,1997,2000,G,6-3,185,"April 3, 1974",https://www.basketball-reference.com/players/b/brownma01.html
Markel Brown,2015,2018,G,6-3,190,"January 29, 1992",https://www.basketball-reference.com/players/b/brownma02.html
Mike Brown,1987,1997,C-F,6-9,257,"July 19, 1963",https://www.basketball-reference.com/players/b/brownmi01.html
Moses Brown,2020,2024,C,7-2,245,"October 13, 1999",https://www.basketball-reference.com/players/b/brownmo01.html
Myron Brown,1992,1992,G,6-3,180,"November 3, 1969",https://www.basketball-reference.com/players/b/brownmy01.html
P.J. Brown,1994,2008,F-C,6-11,225,"October 14, 1969",https://www.basketball-reference.com/players/b/brownpj01.html
Randy Brown,1992,2003,G,6-2,190,"May 22, 1968",https://www.basketball-reference.com/players/b/brownra02.html
Raymond Brown,1990,1990,F,6-8,220,"July 5, 1965",https://www.basketball-reference.com/players/b/brownra01.html
Rickey Brown,1981,1985,C-F,6-10,215,"August 20, 1958",https://www.basketball-reference.com/players/b/brownri01.html
Roger Brown,1968,1975,F-G,6-5,205,"May 22, 1942",https://www.basketball-reference.com/players/b/brownro01.html
Roger Brown,1973,1980,C,6-11,225,"February 23, 1950",https://www.basketball-reference.com/players/b/brownro02.html
Shannon Brown,2007,2015,G,6-4,205,"November 29, 1985",https://www.basketball-reference.com/players/b/brownsh01.html
Stan Brown,1948,1952,F,6-3,200,"June 27, 1929",https://www.basketball-reference.com/players/b/brownst01.html
Sterling Brown,2018,2023,G,6-5,219,"February 10, 1995",https://www.basketball-reference.com/players/b/brownst02.html
Tierre Brown,2002,2005,G,6-2,189,"June 3, 1979",https://www.basketball-reference.com/players/b/brownti01.html
Tony Brown,1985,1992,F-G,6-6,185,"July 29, 1960",https://www.basketball-reference.com/players/b/brownto01.html
Troy Brown Jr.,2019,2024,G-F,6-6,215,"July 28, 1999",https://www.basketball-reference.com/players/b/browntr01.html
Jim Browne,1949,1950,C,6-10,235,"January 1, 1930",https://www.basketball-reference.com/players/b/brownji01.html
Stanley Brundy,1990,1990,F,6-6,210,"November 13, 1967",https://www.basketball-reference.com/players/b/brundst01.html
Brian Brunkhorst,1969,1969,F,6-6,208,"June 12, 1945",https://www.basketball-reference.com/players/b/brunkbr01.html
George Bruns,1973,1973,G,6-0,160,"August 30, 1946",https://www.basketball-reference.com/players/b/brunsge01.html
Jalen Brunson,2019,2024,G,6-2,190,"August 31, 1996",https://www.basketball-reference.com/players/b/brunsja01.html
Rick Brunson,1998,2006,G,6-4,190,"June 14, 1972",https://www.basketball-reference.com/players/b/brunsri01.html
Nicolás Brussino,2017,2018,G-F,6-7,195,"March 2, 1993",https://www.basketball-reference.com/players/b/brussni01.html
Elijah Bryant,2021,2021,G,6-5,210,"April 19, 1995",https://www.basketball-reference.com/players/b/bryanel01.html
Em Bryant,1965,1972,G,6-1,175,"November 4, 1938",https://www.basketball-reference.com/players/b/bryanem01.html
Joe Bryant,1976,1983,F-C,6-9,185,"October 19, 1954",https://www.basketball-reference.com/players/b/bryanjo01.html
Kobe Bryant,1997,2016,G-F,6-6,212,"August 23, 1978",https://www.basketball-reference.com/players/b/bryanko01.html
Mark Bryant,1989,2003,F-C,6-9,245,"April 25, 1965",https://www.basketball-reference.com/players/b/bryanma01.html
Thomas Bryant,2018,2024,C,6-10,248,"July 31, 1997",https://www.basketball-reference.com/players/b/bryanth01.html
Wallace Bryant,1984,1986,C,7-0,245,"July 14, 1959",https://www.basketball-reference.com/players/b/bryanwa01.html
Torgeir Bryn,1990,1990,C,6-9,250,"August 8, 1964",https://www.basketball-reference.com/players/b/brynto01.html
George Bucci,1976,1976,G,6-3,200,"July 9, 1953",https://www.basketball-reference.com/players/b/buccige01.html
Shaq Buchanan,2022,2022,G,6-3,190,"January 30, 1997",https://www.basketball-reference.com/players/b/buchash01.html
Joe Buckhalter,1962,1963,F,6-7,210,"August 1, 1937",https://www.basketball-reference.com/players/b/buckhjo01.html
Steve Bucknall,1990,1990,G,6-6,215,"March 17, 1966",https://www.basketball-reference.com/players/b/bucknst01.html
Cleveland Buckner,1962,1963,F-C,6-9,210,"August 17, 1938",https://www.basketball-reference.com/players/b/buckncl01.html
Greg Buckner,2000,2009,G,6-4,210,"September 16, 1976",https://www.basketball-reference.com/players/b/buckngr01.html
Quinn Buckner,1977,1986,G,6-3,190,"August 20, 1954",https://www.basketball-reference.com/players/b/bucknqu01.html
Dave Budd,1961,1965,F,6-6,205,"October 28, 1938",https://www.basketball-reference.com/players/b/buddda01.html
Chase Budinger,2010,2016,F,6-7,209,"May 22, 1988",https://www.basketball-reference.com/players/b/budinch01.html
Walt Budko,1949,1952,F-C,6-5,220,"July 30, 1925",https://www.basketball-reference.com/players/b/budkowa01.html
Jud Buechler,1991,2002,F-G,6-6,220,"June 19, 1968",https://www.basketball-reference.com/players/b/buechju01.html
Kobe Bufkin,2024,2024,G,6-4,195,"September 21, 2003",https://www.basketball-reference.com/players/b/bufkiko01.html
Rodney Buford,2000,2005,G-F,6-5,189,"November 2, 1977",https://www.basketball-reference.com/players/b/buforro01.html
Matt Bullard,1991,2002,F,6-10,215,"June 5, 1967",https://www.basketball-reference.com/players/b/bullama01.html
Reggie Bullock,2014,2024,G-F,6-6,205,"March 16, 1991",https://www.basketball-reference.com/players/b/bullore01.html
Larry Bunce,1968,1969,C,7-0,240,"July 29, 1945",https://www.basketball-reference.com/players/b/buncela01.html
Greg Bunch,1979,1979,F,6-6,190,"May 15, 1956",https://www.basketball-reference.com/players/b/bunchgr01.html
Dick Bunt,1953,1953,G,6-0,170,"July 13, 1930",https://www.basketball-reference.com/players/b/buntdi01.html
Bill Buntin,1966,1966,C-F,6-7,250,"May 5, 1942",https://www.basketball-reference.com/players/b/buntibi01.html
Bill Bunting,1970,1972,F-C,6-8,200,"August 26, 1947",https://www.basketball-reference.com/players/b/buntibi02.html
Ticky Burden,1976,1978,G,6-2,185,"February 28, 1953",https://www.basketball-reference.com/players/b/burdeti01.html
Pat Burke,2003,2007,C-F,6-11,250,"December 14, 1973",https://www.basketball-reference.com/players/b/burkepa01.html
Trey Burke,2014,2022,G,6-0,185,"November 12, 1992",https://www.basketball-reference.com/players/b/burketr01.html
Roger Burkman,1982,1982,G,6-5,175,"May 22, 1958",https://www.basketball-reference.com/players/b/burkmro01.html
Alec Burks,2012,2024,G,6-6,214,"July 20, 1991",https://www.basketball-reference.com/players/b/burksal01.html
Antonio Burks,2005,2006,G,6-1,200,"February 25, 1980",https://www.basketball-reference.com/players/b/burksan01.html
Kevin Burleson,2006,2006,G,6-3,205,"September 4, 1979",https://www.basketball-reference.com/players/b/burleke01.html
Tom Burleson,1975,1981,C,7-2,225,"February 24, 1952",https://www.basketball-reference.com/players/b/burleto01.html
Jack Burmaster,1950,1950,G,6-3,190,"December 23, 1926",https://www.basketball-reference.com/players/b/burmaja01.html
David Burns,1982,1982,G,6-2,180,"July 3, 1958",https://www.basketball-reference.com/players/b/burnsda01.html
Evers Burns,1994,1994,F,6-8,260,"August 24, 1971",https://www.basketball-reference.com/players/b/burnsev01.html
Jim Burns,1968,1968,G,6-3,195,"September 21, 1945",https://www.basketball-reference.com/players/b/burnsji01.html
Scott Burrell,1994,2001,G-F,6-7,218,"January 12, 1971",https://www.basketball-reference.com/players/b/burresc01.html
Art Burris,1951,1952,F,6-5,220,"April 7, 1924",https://www.basketball-reference.com/players/b/burriar01.html
Junior Burrough,1996,1996,F,6-8,242,"January 18, 1973",https://www.basketball-reference.com/players/b/burroju01.html
Bob Burrow,1957,1958,C-F,6-7,228,"June 29, 1934",https://www.basketball-reference.com/players/b/burrobo01.html
Deonte Burton,2019,2023,G,6-4,240,"January 31, 1994",https://www.basketball-reference.com/players/b/burtode02.html
Ed Burton,1962,1965,F,6-6,225,"August 13, 1939",https://www.basketball-reference.com/players/b/burtoed01.html
Willie Burton,1991,1999,F-G,6-8,210,"May 26, 1968",https://www.basketball-reference.com/players/b/burtowi01.html
Steve Burtt,1985,1993,G,6-2,185,"November 5, 1962",https://www.basketball-reference.com/players/b/burttst01.html
Don Buse,1973,1985,G,6-4,190,"August 10, 1950",https://www.basketball-reference.com/players/b/busedo01.html
David Bustion,1973,1973,F,6-8,215,"August 30, 1949",https://www.basketball-reference.com/players/b/bustida01.html
Donnie Butcher,1962,1966,G,6-2,200,"February 8, 1936",https://www.basketball-reference.com/players/b/butchdo01.html
Al Butler,1962,1965,G,6-2,175,"July 9, 1938",https://www.basketball-reference.com/players/b/butleal01.html
Caron Butler,2003,2016,F,6-7,228,"March 13, 1980",https://www.basketball-reference.com/players/b/butleca01.html
Greg Butler,1989,1991,C,6-11,240,"March 11, 1966",https://www.basketball-reference.com/players/b/butlegr01.html
Jackie Butler,2005,2007,F-C,6-10,250,"March 10, 1985",https://www.basketball-reference.com/players/b/butleja01.html
Jared Butler,2022,2024,G,6-3,195,"August 25, 2000",https://www.basketball-reference.com/players/b/butleja02.html
Jimmy Butler,2012,2024,F-G,6-7,230,"September 14, 1989",https://www.basketball-reference.com/players/b/butleji01.html
John Butler,2023,2023,C,7-0,175,"December 4, 2002",https://www.basketball-reference.com/players/b/butlejo01.html
Mike Butler,1969,1972,G,6-2,170,"October 22, 1946",https://www.basketball-reference.com/players/b/butlemi01.html
Mitchell Butler,1994,2004,G-F,6-5,210,"December 15, 1970",https://www.basketball-reference.com/players/b/butlemi02.html
Rasual Butler,2003,2016,F-G,6-7,215,"May 23, 1979",https://www.basketball-reference.com/players/b/butlera01.html
Dwight Buycks,2014,2018,G,6-3,190,"March 6, 1989",https://www.basketball-reference.com/players/b/buyckdw01.html
Derrick Byars,2012,2012,F,6-7,220,"April 25, 1984",https://www.basketball-reference.com/players/b/byarsde01.html
Andrew Bynum,2006,2014,C,7-0,285,"October 27, 1987",https://www.basketball-reference.com/players/b/bynuman01.html
Will Bynum,2006,2015,G,6-0,185,"January 4, 1983",https://www.basketball-reference.com/players/b/bynumwi01.html
Walt Byrd,1970,1970,F,6-7,205,,https://www.basketball-reference.com/players/b/byrdwa01.html
Marty Byrnes,1979,1983,F,6-7,215,"April 30, 1956",https://www.basketball-reference.com/players/b/byrnema01.html
Tommy Byrnes,1947,1951,F-G,6-3,175,"February 19, 1923",https://www.basketball-reference.com/players/b/byrneto01.html
Michael Bytzura,1947,1947,F,6-1,170,"June 18, 1922",https://www.basketball-reference.com/players/b/bytzumi01.html
Žarko Čabarkapa,2004,2006,F,6-11,235,"May 21, 1981",https://www.basketball-reference.com/players/c/cabarza01.html
Barney Cable,1959,1964,F,6-7,175,"July 29, 1935",https://www.basketball-reference.com/players/c/cableba01.html
Bruno Caboclo,2015,2021,F-C,6-9,218,"September 21, 1995",https://www.basketball-reference.com/players/c/cabocbr01.html
Devontae Cacok,2020,2022,F,6-7,240,"October 8, 1996",https://www.basketball-reference.com/players/c/cacokde01.html
Jason Caffey,1996,2003,F,6-8,255,"June 12, 1973",https://www.basketball-reference.com/players/c/caffeja01.html
Michael Cage,1985,2000,F-C,6-9,224,"January 28, 1962",https://www.basketball-reference.com/players/c/cagemi01.html
Jamal Cain,2023,2024,F,6-7,191,"March 20, 1999",https://www.basketball-reference.com/players/c/cainja01.html
Gerry Calabrese,1951,1952,G,6-1,175,"February 4, 1925",https://www.basketball-reference.com/players/c/calabge01.html
Nick Calathes,2014,2015,G,6-6,213,"February 7, 1989",https://www.basketball-reference.com/players/c/calatni01.html
José Calderón,2006,2019,G,6-3,200,"September 28, 1981",https://www.basketball-reference.com/players/c/caldejo01.html
Adrian Caldwell,1990,1998,F-C,6-8,265,"July 4, 1966",https://www.basketball-reference.com/players/c/caldwad01.html
Jim Caldwell,1968,1969,C,6-10,240,"January 28, 1943",https://www.basketball-reference.com/players/c/caldwji01.html
Joe Caldwell,1965,1975,F-G,6-5,195,"November 1, 1941",https://www.basketball-reference.com/players/c/caldwjo01.html
Kentavious Caldwell-Pope,2014,2024,G,6-5,204,"February 18, 1993",https://www.basketball-reference.com/players/c/caldwke01.html
Bill Calhoun,1949,1955,F-G,6-3,180,"November 4, 1927",https://www.basketball-reference.com/players/c/calhobi01.html
Corky Calhoun,1973,1980,F,6-7,210,"November 1, 1950",https://www.basketball-reference.com/players/c/calhoco01.html
Demetrius Calip,1992,1992,G,6-1,165,"November 18, 1969",https://www.basketball-reference.com/players/c/calipde01.html
Tom Callahan,1947,1947,G,6-1,180,"June 2, 1921",https://www.basketball-reference.com/players/c/callato01.html
Rick Calloway,1991,1991,F,6-6,180,"December 12, 1966",https://www.basketball-reference.com/players/c/callori01.html
Ernie Calverley,1947,1949,G,5-10,145,"January 30, 1924",https://www.basketball-reference.com/players/c/calveer01.html
Mack Calvin,1970,1981,G,6-0,165,"July 27, 1947",https://www.basketball-reference.com/players/c/calvima01.html
Toumani Camara,2024,2024,F,6-8,220,"May 8, 2000",https://www.basketball-reference.com/players/c/camarto01.html
Dexter Cambridge,1993,1993,F,6-7,224,"January 29, 1970",https://www.basketball-reference.com/players/c/cambrde01.html
Marcus Camby,1997,2013,C-F,6-11,220,"March 22, 1974",https://www.basketball-reference.com/players/c/cambyma01.html
Facundo Campazzo,2021,2023,G,5-10,195,"March 23, 1991",https://www.basketball-reference.com/players/c/campafa01.html
Elden Campbell,1991,2005,C,6-11,215,"July 23, 1968",https://www.basketball-reference.com/players/c/campbel01.html
Tony Campbell,1985,1995,F-G,6-7,215,"May 7, 1962",https://www.basketball-reference.com/players/c/campbto01.html
Isaiah Canaan,2014,2019,G,6-0,201,"May 21, 1991",https://www.basketball-reference.com/players/c/canaais01.html
Vlatko Čančar,2020,2023,F,6-8,236,"April 10, 1997",https://www.basketball-reference.com/players/c/cancavl01.html
Devin Cannady,2021,2022,G,6-2,183,"May 21, 1996",https://www.basketball-reference.com/players/c/cannade01.html
Larry Cannon,1970,1974,G,6-4,195,"April 12, 1947",https://www.basketball-reference.com/players/c/cannola01.html
Clint Capela,2015,2024,C,6-10,240,"May 18, 1994",https://www.basketball-reference.com/players/c/capelca01.html
Derrick Caracter,2011,2011,F,6-9,275,"May 4, 1988",https://www.basketball-reference.com/players/c/caracde01.html
Frank Card,1969,1973,F,6-7,195,"December 28, 1944",https://www.basketball-reference.com/players/c/cardfr01.html
Brian Cardinal,2001,2012,F,6-8,245,"May 2, 1977",https://www.basketball-reference.com/players/c/cardibr01.html
Vernon Carey Jr.,2021,2023,C,6-9,270,"February 25, 2001",https://www.basketball-reference.com/players/c/careyve01.html
Howie Carl,1962,1962,G,5-9,160,"June 7, 1938",https://www.basketball-reference.com/players/c/carlho01.html
Chet Carlisle,1947,1947,F-C,6-5,195,"November 2, 1916",https://www.basketball-reference.com/players/c/carlich01.html
Geno Carlisle,2005,2005,G,6-3,180,"August 13, 1976",https://www.basketball-reference.com/players/c/carlige01.html
Rick Carlisle,1985,1990,G,6-5,210,"October 27, 1959",https://www.basketball-reference.com/players/c/carliri01.html
Don Carlos,1969,1969,G-F,6-5,210,"March 3, 1944",https://www.basketball-reference.com/players/c/carlodo01.html
Al Carlson,1976,1976,C,6-11,235,"September 17, 1951",https://www.basketball-reference.com/players/c/carlsal01.html
Don Carlson,1947,1951,G-F,6-0,170,"March 22, 1919",https://www.basketball-reference.com/players/c/carlsdo01.html
Bob Carney,1955,1955,G,6-3,170,"August 3, 1932",https://www.basketball-reference.com/players/c/carnebo01.html
Rodney Carney,2007,2011,F,6-7,205,"April 15, 1984",https://www.basketball-reference.com/players/c/carnero01.html
Bob Carpenter,1950,1951,F-C,6-5,200,"November 6, 1917",https://www.basketball-reference.com/players/c/carpebo01.html
Antoine Carr,1985,2000,F-C,6-9,225,"July 23, 1961",https://www.basketball-reference.com/players/c/carran01.html
Austin Carr,1972,1981,G,6-4,200,"March 10, 1948",https://www.basketball-reference.com/players/c/carrau01.html
Chris Carr,1996,2001,G,6-5,207,"March 12, 1974",https://www.basketball-reference.com/players/c/carrch01.html
Cory Carr,1999,1999,G,6-3,210,"December 5, 1975",https://www.basketball-reference.com/players/c/carrco01.html
Kenny Carr,1978,1987,F,6-7,220,"August 15, 1955",https://www.basketball-reference.com/players/c/carrke01.html
M.L. Carr,1976,1985,F-G,6-6,205,"January 9, 1951",https://www.basketball-reference.com/players/c/carrml01.html
Darel Carrier,1968,1973,G,6-3,185,"October 26, 1940",https://www.basketball-reference.com/players/c/carrida01.html
Bob Carrington,1978,1980,G-F,6-6,195,"July 3, 1953",https://www.basketball-reference.com/players/c/carribo01.html
DeMarre Carroll,2010,2020,F,6-6,215,"July 27, 1986",https://www.basketball-reference.com/players/c/carrode01.html
Joe Barry Carroll,1981,1991,C-F,7-0,225,"July 24, 1958",https://www.basketball-reference.com/players/c/carrojo01.html
Matt Carroll,2004,2013,G,6-6,212,"August 28, 1980",https://www.basketball-reference.com/players/c/carroma01.html
Jimmy Carruth,1997,1997,C-F,6-10,265,"November 4, 1969",https://www.basketball-reference.com/players/c/carruji01.html
Anthony Carter,2000,2012,G,6-1,190,"June 16, 1975",https://www.basketball-reference.com/players/c/cartean01.html
Butch Carter,1981,1986,G,6-5,180,"June 11, 1958",https://www.basketball-reference.com/players/c/cartebu01.html
Fred Carter,1970,1977,G-F,6-3,185,"February 14, 1945",https://www.basketball-reference.com/players/c/cartefr01.html
George Carter,1968,1976,F-G,6-4,210,"January 10, 1944",https://www.basketball-reference.com/players/c/cartege01.html
Howard Carter,1984,1985,G,6-5,215,"October 26, 1961",https://www.basketball-reference.com/players/c/carteho01.html
Jake Carter,1950,1950,F-C,6-4,195,"July 25, 1924",https://www.basketball-reference.com/players/c/carteja01.html
Jevon Carter,2019,2024,G,6-1,200,"September 14, 1995",https://www.basketball-reference.com/players/c/carteje01.html
Maurice Carter,2004,2004,G,6-5,210,"October 12, 1976",https://www.basketball-reference.com/players/c/cartema01.html
Reggie Carter,1981,1982,G,6-3,175,"October 10, 1957",https://www.basketball-reference.com/players/c/cartere01.html
Ron Carter,1979,1980,G,6-5,190,"August 31, 1956",https://www.basketball-reference.com/players/c/cartero01.html
Vince Carter,1999,2020,G-F,6-6,220,"January 26, 1977",https://www.basketball-reference.com/players/c/cartevi01.html
Wendell Carter Jr.,2019,2024,C,6-10,270,"April 16, 1999",https://www.basketball-reference.com/players/c/cartewe01.html
Michael Carter-Williams,2014,2023,G,6-5,190,"October 10, 1991",https://www.basketball-reference.com/players/c/cartemi01.html
D.J. Carton,2024,2024,G,6-2,200,"August 5, 2000",https://www.basketball-reference.com/players/c/cartodj01.html
Bill Cartwright,1980,1995,C,7-1,245,"July 30, 1957",https://www.basketball-reference.com/players/c/cartwbi01.html
Jay Carty,1969,1969,F,6-8,220,"July 4, 1941",https://www.basketball-reference.com/players/c/cartyja01.html
Alex Caruso,2018,2024,G,6-5,186,"February 28, 1994",https://www.basketball-reference.com/players/c/carusal01.html
Cornelius Cash,1977,1977,F,6-8,215,"March 3, 1952",https://www.basketball-reference.com/players/c/cashco01.html
Sam Cash,1973,1973,F,6-8,230,"November 13, 1950",https://www.basketball-reference.com/players/c/cashsa01.html
Sam Cassell,1994,2008,G,6-3,185,"November 18, 1969",https://www.basketball-reference.com/players/c/cassesa01.html
Omri Casspi,2010,2019,F,6-9,225,"June 22, 1988",https://www.basketball-reference.com/players/c/casspom01.html
Colin Castleton,2024,2024,F,6-11,250,"May 25, 2000",https://www.basketball-reference.com/players/c/castlco01.html
Harvey Catchings,1975,1985,C-F,6-9,218,"September 2, 1951",https://www.basketball-reference.com/players/c/catchha01.html
Terry Catledge,1986,1993,F,6-8,220,"August 22, 1963",https://www.basketball-reference.com/players/c/catlete01.html
Sid Catlett,1972,1972,F,6-6,230,"April 18, 1948",https://www.basketball-reference.com/players/c/catlesi01.html
Kelvin Cato,1998,2007,C,6-11,255,"August 26, 1974",https://www.basketball-reference.com/players/c/catoke01.html
Bobby Cattage,1982,1986,F,6-9,250,"August 17, 1958",https://www.basketball-reference.com/players/c/cattabo01.html
Willie Cauley-Stein,2016,2022,F-C,7-0,240,"August 18, 1993",https://www.basketball-reference.com/players/c/caulewi01.html
Troy Caupain,2019,2019,G,6-4,210,"November 29, 1995",https://www.basketball-reference.com/players/c/caupatr01.html
Duane Causwell,1991,2001,C,7-0,240,"May 31, 1968",https://www.basketball-reference.com/players/c/causwdu01.html
Tyler Cavanaugh,2018,2019,F,6-9,238,"February 9, 1994",https://www.basketball-reference.com/players/c/cavanty01.html
Ron Cavenall,1985,1989,C,7-1,230,"April 30, 1959",https://www.basketball-reference.com/players/c/cavenro01.html
Ahmad Caver,2022,2022,G,6-2,175,"September 12, 1996",https://www.basketball-reference.com/players/c/caverah01.html
Malcolm Cazalon,2024,2024,G,6-6,212,"August 27, 2001",https://www.basketball-reference.com/players/c/cazalma01.html
Cedric Ceballos,1991,2001,F,6-7,220,"August 2, 1969",https://www.basketball-reference.com/players/c/cebalce01.html
John Celestand,2000,2000,G,6-4,178,"March 6, 1977",https://www.basketball-reference.com/players/c/celesjo01.html
Al Cervi,1950,1953,G-F,5-11,170,"February 12, 1917",https://www.basketball-reference.com/players/c/cervial01.html
Lionel Chalmers,2005,2005,G,6-0,180,"November 10, 1980",https://www.basketball-reference.com/players/c/chalmli01.html
Mario Chalmers,2009,2018,G,6-2,190,"May 19, 1986",https://www.basketball-reference.com/players/c/chalmma01.html
Bill Chamberlain,1973,1974,F,6-6,188,"December 16, 1949",https://www.basketball-reference.com/players/c/chambbi01.html
Wilt Chamberlain,1960,1973,C,7-1,275,"August 21, 1936",https://www.basketball-reference.com/players/c/chambwi01.html
Jerry Chambers,1967,1974,F,6-5,185,"July 18, 1943",https://www.basketball-reference.com/players/c/chambje01.html
Tom Chambers,1982,1998,F-C,6-10,220,"June 21, 1959",https://www.basketball-reference.com/players/c/chambto01.html
Julian Champagnie,2023,2024,F,6-8,220,"June 29, 2001",https://www.basketball-reference.com/players/c/champju02.html
Justin Champagnie,2022,2024,F,6-6,200,"June 29, 2001",https://www.basketball-reference.com/players/c/champju01.html
Mike Champion,1989,1989,F,6-10,230,"April 5, 1964",https://www.basketball-reference.com/players/c/champmi01.html
Kennedy Chandler,2023,2023,G,6-0,171,"September 16, 2002",https://www.basketball-reference.com/players/c/chandke01.html
Tyson Chandler,2002,2020,C,7-0,235,"October 2, 1982",https://www.basketball-reference.com/players/c/chandty01.html
Wilson Chandler,2008,2020,F,6-8,235,"May 10, 1987",https://www.basketball-reference.com/players/c/chandwi01.html
Don Chaney,1969,1980,G,6-5,210,"March 22, 1946",https://www.basketball-reference.com/players/c/chanedo01.html
John Chaney,1950,1950,F-C,6-3,185,"February 29, 1920",https://www.basketball-reference.com/players/c/chanejo01.html
Rex Chapman,1989,2000,G,6-4,185,"October 5, 1967",https://www.basketball-reference.com/players/c/chapmre01.html
Wayne Chapman,1969,1972,G-F,6-6,190,"June 15, 1945",https://www.basketball-reference.com/players/c/chapmwa01.html
Len Chappell,1963,1972,F-C,6-8,240,"January 31, 1941",https://www.basketball-reference.com/players/c/chapple01.html
Ken Charles,1974,1978,G,6-3,180,"July 10, 1951",https://www.basketball-reference.com/players/c/charlke01.html
Lorenzo Charles,1986,1986,F,6-7,225,"November 25, 1963",https://www.basketball-reference.com/players/c/charllo01.html
Joe Chealey,2019,2020,G,6-3,190,"November 1, 1995",https://www.basketball-reference.com/players/c/chealjo01.html
Calbert Cheaney,1994,2006,G-F,6-7,209,"July 17, 1971",https://www.basketball-reference.com/players/c/cheanca01.html
Zylan Cheatham,2020,2022,F,6-5,220,"November 17, 1995",https://www.basketball-reference.com/players/c/cheatzy01.html
Maurice Cheeks,1979,1993,G,6-1,180,"September 8, 1956",https://www.basketball-reference.com/players/c/cheekma01.html
Phil Chenier,1972,1981,G,6-3,180,"October 30, 1950",https://www.basketball-reference.com/players/c/cheniph01.html
Will Cherry,2015,2015,G,6-0,185,"February 8, 1991",https://www.basketball-reference.com/players/c/cherrwi01.html
Derrick Chievous,1989,1991,F,6-7,195,"July 3, 1967",https://www.basketball-reference.com/players/c/chievde01.html
Pete Chilcutt,1992,2000,F-C,6-10,230,"September 14, 1968",https://www.basketball-reference.com/players/c/chilcpe01.html
Josh Childress,2005,2014,G-F,6-8,210,"June 20, 1983",https://www.basketball-reference.com/players/c/childjo01.html
Randolph Childress,1996,1997,G,6-2,188,"September 21, 1972",https://www.basketball-reference.com/players/c/childra01.html
Chris Childs,1995,2003,G,6-3,195,"November 20, 1967",https://www.basketball-reference.com/players/c/childch01.html
